uid,age
1036769,64
1036791,51
1037010,53
1037187,54
1037272,44
1037600,44
1037763,36
1038019,46
1038721,46
1050501,51
1050524,48
1050781,39
1051389,39
1051861,45
1052018,36
1052608,48
1052851,39
1055605,46
1056253,40
1059372,39
1059999,63
1060609,37
1060631,51
1060681,52
1060780,47
1061090,41
1062558,49
1062576,41
1062800,64
1063610,48
1063638,54
1063796,51
1063831,50
1065177,51
1065181,49
1065780,51
1066928,40
1067382,42
1068886,53
1069515,40
1069808,59
1071189,38
1071517,55
1072264,30
1072598,54
1075243,40
1075333,34
1075982,43
1076779,56
1076823,54
1077188,43
1077656,45
1078885,58
1078899,37
1079901,51
1080611,40
1080850,48
1081575,48
1081679,39
1082097,54
1082655,25
1083019,45
1083280,38
1083780,43
1083866,48
1086598,40
1086769,58
1086903,45
1086926,52
1087358,40
1087560,41
1089239,75
1090912,56
1091001,42
1091065,44
1092096,46
1092127,40
1092721,42
1093202,35
1093298,58
1093356,42
1093838,71
1095516,37
1095539,45
1095679,39
1095773,42
1097168,49
1099003,51
11001,62
1101211,69
1102198,37
1102968,50
1103877,53
1106388,54
1107067,65
1107323,46
1107512,40
1107828,71
1107887,47
1108282,47
1109097,62
1109209,51
1110397,51
1111166,52
1111170,50
1111382,46
1113088,43
1113317,47
1113619,57
1113731,38
1113795,46
1115711,45
1117377,51
1117511,46
1118132,55
1119221,50
1119302,37
1119988,45
1120323,50
1122781,41
1123302,40
1123951,54
1125017,48
1125300,51
1125503,39
1125855,49
1125927,42
1130999,50
1131718,58
1132285,40
1133973,59
1133987,63
1133991,43
1135039,42
1136191,47
1137811,57
1139003,45
1139111,49
1139125,49
1139206,46
1139391,43
1150082,47
1150618,42
1150622,38
1150988,47
1151356,51
1151518,66
1151608,65
1155276,50
1156130,38
1156270,36
1156351,44
1157210,48
1157292,79
1158228,61
1158836,51
1159065,51
1159957,47
1160063,41
1160072,41
1160108,60
1161012,45
1161076,44
1161783,45
1161887,50
1162903,44
1165897,62
1167660,35
1167665,39
1168132,48
1168303,44
1168376,52
1169357,41
1169500,51
1169519,42
1169609,47
1169631,47
1170116,51
1170292,52
1170526,44
1170693,41
1170878,49
1171098,64
1171138,45
1171250,54
1171318,64
1171516,70
1171737,46
1172231,59
1172560,45
1172588,48
1172902,43
1173276,44
1173398,41
1173573,45
1173861,60
1173997,46
1175585,50
1176133,42
1176651,51
1176683,58
1177079,39
1177763,50
1177899,43
1178208,48
1178785,50
1178834,44
1180025,53
1181952,47
1182910,45
1183699,46
1186583,42
1187398,43
1187631,45
1189373,40
1191320,36
1193008,23
1193602,50
1193738,51
1193896,28
1196127,39
1198530,34
1198823,38
1201558,47
1202336,44
1208533,42
1208588,44
1209299,39
1209582,39
1213311,48
1215107,61
1215715,46
1215828,53
1217308,47
1218195,51
1218578,63
1222726,37
1223879,35
1225787,36
1381333,51
1383002,52
1385203,49
1385802,40
1386676,40
1386720,41
1389731,69
1390388,42
1390699,35
1390725,55
1390757,44
1392381,44
1393097,39
1393178,48
1393399,42
1393619,48
1395581,45
1500006,52
1500358,58
1500560,45
1500678,35
1500772,40
1501078,47
1501267,38
1501299,48
1501523,38
1503026,47
1503788,53
1505367,45
1505592,34
1506258,39
1506951,52
1507586,41
1507950,58
1508689,41
1509697,28
1509791,44
1510168,43
1515866,46
1516121,40
1516202,50
1516653,43
